Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","01929.07","Abaca, manila hemp, raw","1961","1961","ha","100","E","Estimated value"
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","01929.07","Abaca, manila hemp, raw","1962","1962","ha","100","E","Estimated value"
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","01929.07","Abaca, manila hemp, raw","1963","1963","ha","110","E","Estimated value"
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","01929.07","Abaca, manila hemp, raw","1964","1964","ha","120","T","Unofficial figure"
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","01929.07","Abaca, manila hemp, raw","1965","1965","ha","150","E","Estimated value"
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","01929.07","Abaca, manila hemp, raw","1966","1966","ha","1200","E","Estimated value"
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","01929.07","Abaca, manila hemp, raw","1967","1967","ha","1300","E","Estimated value"
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","01929.07","Abaca, manila hemp, raw","1968","1968","ha","1500","E","Estimated value"
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","01929.07","Abaca, manila hemp, raw","1969","1969","ha","1800","A","Official figure"
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","01929.07","Abaca, manila hemp, raw","1970","1970","ha","1850","A","Official figure"
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","01929.07","Abaca, manila hemp, raw","1971","1971","ha","2100","A","Official figure"
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","01929.07","Abaca, manila hemp, raw","1972","1972","ha","3300","A","Official figure"
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","01929.07","Abaca, manila hemp, raw","1973","1973","ha","6525","A","Official figure"
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","01929.07","Abaca, manila hemp, raw","1974","1974","ha","7370","A","Official figure"
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","01929.07","Abaca, manila hemp, raw","1975","1975","ha","8180","A","Official figure"
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","01929.07","Abaca, manila hemp, raw","1976","1976","ha","10850","A","Official figure"
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","01929.07","Abaca, manila hemp, raw","1977","1977","ha","13000","A","Official figure"
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","01929.07","Abaca, manila hemp, raw","1978","1978","ha","14400","A","Official figure"
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","01929.07","Abaca, manila hemp, raw","1979","1979","ha","14400","A","Official figure"
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","01929.07","Abaca, manila hemp, raw","1980","1980","ha","13807","A","Official figure"
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","01929.07","Abaca, manila hemp, raw","1981","1981","ha","13540","A","Official figure"
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","01929.07","Abaca, manila hemp, raw","1982","1982","ha","11800","A","Official figure"
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","01929.07","Abaca, manila hemp, raw","1983","1983","ha","11600","A","Official figure"
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","01929.07","Abaca, manila hemp, raw","1984","1984","ha","20782","A","Official figure"
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","01929.07","Abaca, manila hemp, raw","1985","1985","ha","13510","A","Official figure"
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","01929.07","Abaca, manila hemp, raw","1986","1986","ha","14000","A","Official figure"
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","01929.07","Abaca, manila hemp, raw","1987","1987","ha","16600","A","Official figure"
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","01929.07","Abaca, manila hemp, raw","1988","1988","ha","17830","A","Official figure"
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","01929.07","Abaca, manila hemp, raw","1989","1989","ha","17060","A","Official figure"
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","01929.07","Abaca, manila hemp, raw","1990","1990","ha","17700","A","Official figure"
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","01929.07","Abaca, manila hemp, raw","1991","1991","ha","17350","A","Official figure"
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","01929.07","Abaca, manila hemp, raw","1992","1992","ha","17470","A","Official figure"
