Domain,Area,Element,Months,Year,Unit,Value,Flag Description
Temperature change on land,Ecuador,Temperature change,January,1973,°c,0.706,Estimated value
Temperature change on land,Ecuador,Temperature change,February,1973,°c,0.443,Estimated value
Temperature change on land,Ecuador,Temperature change,March,1973,°c,0.684,Estimated value
Temperature change on land,Ecuador,Temperature change,April,1973,°c,0.137,Estimated value
Temperature change on land,Ecuador,Temperature change,May,1973,°c,-0.097,Estimated value
Temperature change on land,Ecuador,Temperature change,June,1973,°c,0.04,Estimated value
Temperature change on land,Ecuador,Temperature change,July,1973,°c,-0.149,Estimated value
Temperature change on land,Ecuador,Temperature change,August,1973,°c,-0.392,Estimated value
Temperature change on land,Ecuador,Temperature change,September,1973,°c,-0.199,Estimated value
Temperature change on land,Ecuador,Temperature change,October,1973,°c,-0.364,Estimated value
Temperature change on land,Ecuador,Temperature change,November,1973,°c,-0.207,Estimated value
Temperature change on land,Ecuador,Temperature change,December,1973,°c,-0.724,Estimated value
Temperature change on land,Ecuador,Temperature change,January,1974,°c,-0.447,Estimated value
Temperature change on land,Ecuador,Temperature change,February,1974,°c,-0.56,Estimated value
Temperature change on land,Ecuador,Temperature change,March,1974,°c,-0.103,Estimated value
Temperature change on land,Ecuador,Temperature change,April,1974,°c,0.051,Estimated value
Temperature change on land,Ecuador,Temperature change,May,1974,°c,0.166,Estimated value
Temperature change on land,Ecuador,Temperature change,June,1974,°c,0.071,Estimated value
Temperature change on land,Ecuador,Temperature change,July,1974,°c,-0.307,Estimated value
Temperature change on land,Ecuador,Temperature change,August,1974,°c,-0.092,Estimated value
Temperature change on land,Ecuador,Temperature change,September,1974,°c,-0.555,Estimated value
Temperature change on land,Ecuador,Temperature change,October,1974,°c,-0.435,Estimated value
Temperature change on land,Ecuador,Temperature change,November,1974,°c,-0.019,Estimated value
Temperature change on land,Ecuador,Temperature change,December,1974,°c,-0.142,Estimated value
Temperature change on land,Ecuador,Temperature change,January,1975,°c,-0.32,Estimated value
Temperature change on land,Ecuador,Temperature change,February,1975,°c,-0.331,Estimated value
Temperature change on land,Ecuador,Temperature change,March,1975,°c,0.065,Estimated value
Temperature change on land,Ecuador,Temperature change,April,1975,°c,-0.233,Estimated value
Temperature change on land,Ecuador,Temperature change,May,1975,°c,-0.347,Estimated value
Temperature change on land,Ecuador,Temperature change,June,1975,°c,-0.102,Estimated value
Temperature change on land,Ecuador,Temperature change,July,1975,°c,-0.621,Estimated value
Temperature change on land,Ecuador,Temperature change,August,1975,°c,-0.371,Estimated value
Temperature change on land,Ecuador,Temperature change,September,1975,°c,-0.422,Estimated value
Temperature change on land,Ecuador,Temperature change,October,1975,°c,-0.405,Estimated value
Temperature change on land,Ecuador,Temperature change,November,1975,°c,-0.54,Estimated value
Temperature change on land,Ecuador,Temperature change,December,1975,°c,-0.615,Estimated value
Temperature change on land,Ecuador,Temperature change,January,1976,°c,-0.552,Estimated value
Temperature change on land,Ecuador,Temperature change,February,1976,°c,-0.493,Estimated value
Temperature change on land,Ecuador,Temperature change,March,1976,°c,-0.017,Estimated value
Temperature change on land,Ecuador,Temperature change,April,1976,°c,0.144,Estimated value
Temperature change on land,Ecuador,Temperature change,May,1976,°c,0.45,Estimated value
Temperature change on land,Ecuador,Temperature change,June,1976,°c,0.909,Estimated value
Temperature change on land,Ecuador,Temperature change,July,1976,°c,1.153,Estimated value
Temperature change on land,Ecuador,Temperature change,August,1976,°c,0.997,Estimated value
Temperature change on land,Ecuador,Temperature change,September,1976,°c,0.683,Estimated value
Temperature change on land,Ecuador,Temperature change,October,1976,°c,0.427,Estimated value
