#,Dataslice name,Dataslice is relevant to,Columns in this data slice,Field type,Datatype in python,Column description
1,undata_ls,Livestock,,,,
1,undata_ls,Livestock,ls_main,esriFieldTypeSmallInteger,integer,Question asked: 'What was the main animal raised for food and income generation in the last 12 month by your household?'
1,undata_ls,Livestock,ls_num_lastyr,esriFieldTypeInteger,integer,Question asked: 'How many [ls_main] did you have at the same time last year?' [ls_main] will be replaced by the response of the households to the question 'What was the main animal raised for food and income generation in the last 12 month by your household?'.
1,undata_ls,Livestock,ls_num_now,esriFieldTypeInteger,integer,Question asked: How many [ls_main] do you have now? [ls_main] will be replaced by the response of the households to the question 'What was the main animal raised for food and income generation in the last 12 month by your household?'.
1,undata_ls,Livestock,ls_num_diff,esriFieldTypeDouble,float,Difference between the number of main livestock now and the number of main livestock last year at the same time (ls_num_now - ls_num_lastyr).
1,undata_ls,Livestock,ls_num_increased,esriFieldTypeSmallInteger,integer,The number of livestock has increased compared to last year at the same time.
1,undata_ls,Livestock,ls_num_decreased,esriFieldTypeSmallInteger,integer,The number of livestock has decreased compared to last year at the same time.
1,undata_ls,Livestock,ls_num_no_change,esriFieldTypeSmallInteger,integer,Question asked: 'Why did the number of livestock change?' 'Yes'  if 'No significant change in livestock number' selected.
1,undata_ls,Livestock,ls_num_inc_less_sales,esriFieldTypeSmallInteger,integer,Question asked: 'Why did the number of livestock change?' 'Yes'  if 'Did not sell as many' selected.
1,undata_ls,Livestock,ls_num_inc_more_birth,esriFieldTypeSmallInteger,integer,Question asked: 'Why did the number of livestock change?' 'Yes'  if 'Many more were born' selected.
1,undata_ls,Livestock,ls_num_inc_more_acquired,esriFieldTypeSmallInteger,integer,Question asked: 'Why did the number of livestock change?' 'Yes'  if 'Purchased or bartered more animals this year' selected.
1,undata_ls,Livestock,ls_num_inc_received_free,esriFieldTypeSmallInteger,integer,Question asked: 'Why did the number of livestock change?' 'Yes'  if 'Received animals for free (restocking / gift)' selected.
1,undata_ls,Livestock,ls_num_dec_poor_health,esriFieldTypeSmallInteger,integer,"Question asked: 'Why did the number of livestock change?' 'Yes'  if 'Animal death due to malnutrition, drought, lack of feed' selected."
1,undata_ls,Livestock,ls_num_dec_death,esriFieldTypeSmallInteger,integer,"Question asked: 'Why did the number of livestock change?' 'Yes'  if 'Animal death due to other factors (e.g. diseases, parasites, injury)' selected."
1,undata_ls,Livestock,ls_num_dec_sales_good_price,esriFieldTypeSmallInteger,integer,Question asked: 'Why did the number of livestock change?' 'Yes'  if 'Sold more than usual because of good prices' selected.
1,undata_ls,Livestock,ls_num_dec_sales_distress,esriFieldTypeSmallInteger,integer,Question asked: 'Why did the number of livestock change?' 'Yes'  if 'Sold more than usual because of distress sales (unable to feed animal / need money urgently for household basic needs even if sales were unsustainable)' selected.
1,undata_ls,Livestock,ls_num_dec_escape_stolen,esriFieldTypeSmallInteger,integer,Question asked: 'Why did the number of livestock change?' 'Yes'  if 'Animal escaped or was lost or stolen' selected.
1,undata_ls,Livestock,ls_num_dec_consumed,esriFieldTypeSmallInteger,integer,Question asked: 'Why did the number of livestock change?' 'Yes'  if 'Killed or gave away more animals than usual for household consumption or celebrations (marriage / funerals / etc)' selected.
1,undata_ls,Livestock,ls_num_inc_dec_other,esriFieldTypeSmallInteger,integer,Question asked: 'Why did the number of livestock change?' 'Yes'  if 'Other' selected.
1,undata_ls,Livestock,ls_num_inc_dec_dk,esriFieldTypeSmallInteger,integer,Question asked: 'Why did the number of livestock change?' 'Yes'  if 'DON’T KNOW' selected.
1,undata_ls,Livestock,ls_num_inc_dec_ref,esriFieldTypeSmallInteger,integer,Question asked: 'Why did the number of livestock change?' 'Yes'  if 'REFUSED' selected.
1,undata_ls,Livestock,ls_feed_open_pasture,esriFieldTypeSmallInteger,integer,Question asked: 'Where do you usually access food for your [ls_main]? ' 'Yes' if 'Open pasture' selected.
