"Category","Average Minimum Surface Air Temperature","Average Mean Surface Air Temperature","Average Maximum Surface Air Temperature","Precipitation"
"Jan",15.87,21.76,27.7,171.99
"Feb",16.1,21.84,27.63,217.77
"Mar",16.2,21.84,27.53,268.57
"Apr",16.13,21.84,27.6,267.03
"May",15.99,21.69,27.44,246.69
"Jun",15.43,21.06,26.74,184.63
"Jul",14.86,20.67,26.53,176.05
"Aug",14.65,20.83,27.07,95.99
"Sep",14.83,21.13,27.48,104.24
"Oct",15.33,21.45,27.62,124.68
"Nov",15.29,21.51,27.77,145.22
"Dec",15.49,21.6,27.77,131.4
