month,1971-2020
JAN,18.92
JAN,20.13
JAN,21.02
JAN,19.65
JAN,19.92
JAN,19.98
JAN,21.56
JAN,21.43
JAN,21.34
JAN,21.32
FEB,19.69
FEB,20.55
FEB,21.25
FEB,19.5
FEB,20.23
FEB,20.23
FEB,20.9
FEB,21.67
FEB,21.49
FEB,21.61
MAR,19.61
MAR,20.59
MAR,21.47
MAR,19.96
MAR,20.43
MAR,20.38
MAR,21.11
MAR,21.29
MAR,20.91
MAR,21.27
APR,19.29
APR,20.76
APR,21.11
APR,20.08
APR,20.62
APR,20.48
APR,21.07
APR,20.98
APR,21.01
APR,21.41
MAY,20.19
MAY,20.9
MAY,20.57
MAY,19.82
MAY,19.87
MAY,20.24
MAY,20.69
MAY,20.94
MAY,20.92
MAY,21.16
JUN,19.07
JUN,20.38
JUN,19.99
JUN,19.17
JUN,19.21
JUN,19.57
JUN,20.06
JUN,19.74
JUN,19.77
JUN,20.51
JUL,20.08
JUL,20.31
JUL,18.83
JUL,18.41
JUL,18.22
JUL,19.22
JUL,19.76
JUL,19.62
JUL,19.54
JUL,19.53
AUG,19.79
AUG,20.17
AUG,18.93
AUG,18.89
AUG,18.89
AUG,19.29
AUG,19.92
AUG,19.27
AUG,20.1
AUG,19.92
SEP,19.97
SEP,20.17
SEP,19.22
SEP,18.93
SEP,19.31
SEP,19.76
SEP,20.26
SEP,20
SEP,20.29
SEP,20.32
OCT,20.23
OCT,20.8
OCT,19.78
OCT,19.16
OCT,19.78
OCT,20.23
OCT,20.54
OCT,20.36
OCT,20.86
OCT,20.47
NOV,19.95
NOV,20.79
NOV,19.77
NOV,20.05
NOV,19.78
NOV,20.36
NOV,20.71
NOV,20.96
NOV,20.79
NOV,20.72
DEC,19.53
DEC,20.98
DEC,19.53
DEC,20.14
DEC,19.83
DEC,20.72
DEC,21.2
DEC,20.99
DEC,20.32
DEC,21.09
JAN,19.38
JAN,21.1
JAN,21.48
JAN,20.11
JAN,20.54
JAN,20.33
JAN,20.89
JAN,20.94
JAN,19.84
JAN,20.69
FEB,20.65
FEB,21.24
FEB,21.77
FEB,20.22
FEB,20.3
FEB,20.31
FEB,21.15
FEB,21.3
FEB,20.11
FEB,20.94
MAR,20.14
MAR,21.41
MAR,21.84
MAR,20.87
MAR,20.56
MAR,20.24
MAR,21.49
MAR,21.09
MAR,20.04
MAR,21.15
APR,20.14
APR,21.06
APR,21.79
APR,20.7
APR,20.53
APR,20.61
APR,21.34
APR,21.01
APR,20.6
APR,21.04
MAY,21.42
MAY,20.74
MAY,21.71
MAY,20.27
MAY,19.7
MAY,20.36
MAY,20.8
MAY,20.73
MAY,19.84
MAY,20.63
JUN,19.86
JUN,20.39
JUN,20.87
JUN,19.69
JUN,18.95
JUN,19.18
JUN,20.2
JUN,19.52
JUN,19.4
JUN,19.89
JUL,21.15
JUL,19.74
JUL,20.64
JUL,19.05
JUL,18.45
JUL,18.59
JUL,20.09
JUL,18.82
JUL,18.71
JUL,19.24
AUG,20.72
AUG,19.82
AUG,20.35
AUG,19.4
AUG,18.71
AUG,19.45
AUG,19.88
AUG,19.52
AUG,19.38
AUG,19.55
SEP,20.87
SEP,20.49
SEP,20.22
SEP,19.49
SEP,19.38
SEP,19.62
SEP,20.44
SEP,19.82
SEP,19.98
SEP,19.88
OCT,21.25
OCT,20.68
OCT,20.25
OCT,19.83
OCT,19.93
OCT,19.85
OCT,20.71
OCT,20.17
OCT,19.99
OCT,20.41
NOV,21.22
NOV,21.2
NOV,20.4
NOV,19.71
NOV,19.89
NOV,20.15
NOV,20.93
NOV,20.07
NOV,20.76
NOV,20.4
DEC,20.31
DEC,20.95
DEC,20.08
DEC,20.27
DEC,20.25
DEC,20.4
DEC,21.09
DEC,19.96
DEC,21.34
DEC,20.53
JAN,19.52
JAN,21.42
JAN,20.73
JAN,20.83
JAN,21
JAN,20.33
JAN,20.31
JAN,21.4
JAN,20.03
JAN,20.06
FEB,20.12
FEB,21.4
FEB,20.71
FEB,20.57
FEB,21.03
FEB,20.34
FEB,20.2
FEB,21.96
FEB,19.97
FEB,20.14
MAR,21.15
MAR,21.43
MAR,20.61
MAR,20.68
MAR,20.67
MAR,20.64
MAR,21.02
MAR,21.61
MAR,20.31
MAR,20.17
APR,20.36
APR,21.53
APR,21.15
APR,20.73
APR,20.97
APR,20.32
APR,20.5
APR,21.77
APR,19.78
APR,20.08
MAY,20.8
MAY,21.35
